dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260C96BF,2022-03-15T20:17:52.934066066Z,CONFIRMED_UP,364,1,125000,7,4/5,903900000,-69,-69,9,10042.040916994214
260C96BF,2022-03-15T20:18:02.990282135Z,CONFIRMED_UP,365,1,125000,7,4/5,903900000,-67,-67,9,10056.21606899798
260C96BF,2022-03-15T20:18:13.043990718Z,CONFIRMED_UP,366,1,125000,7,4/5,903900000,-69,-69,9.75,10053.708583012223
260C96BF,2022-03-15T20:18:23.115992498Z,CONFIRMED_UP,367,1,125000,7,4/5,903900000,-67,-67,9.75,10072.001779988408
260C96BF,2022-03-15T20:18:33.190575523Z,CONFIRMED_UP,368,1,125000,7,4/5,903900000,-69,-69,9.5,10074.58302500844
260C96BF,2022-03-15T20:18:43.251269948Z,CONFIRMED_UP,369,1,125000,7,4/5,903900000,-69,-69,9.25,10060.69442500174
260C96BF,2022-03-15T20:18:53.327264952Z,CONFIRMED_UP,370,1,125000,7,4/5,903900000,-69,-69,10,10075.99500399828
260C96BF,2022-03-15T20:19:03.393422830Z,CONFIRMED_UP,371,1,125000,7,4/5,903900000,-67,-67,9.5,10066.157877996564
260C96BF,2022-03-15T20:19:13.463469854Z,CONFIRMED_UP,372,1,125000,7,4/5,903900000,-69,-69,9.25,10070.04702399671
260C96BF,2022-03-15T20:19:23.537071846Z,CONFIRMED_UP,373,1,125000,7,4/5,903900000,-69,-69,9.25,10073.601991996169
260C96BF,2022-03-15T20:19:33.602300109Z,CONFIRMED_UP,374,1,125000,7,4/5,903900000,-67,-67,9.75,10065.228263005614
260C96BF,2022-03-15T20:19:43.663008754Z,CONFIRMED_UP,375,1,125000,7,4/5,903900000,-67,-67,8.75,10060.708645001054
260C96BF,2022-03-15T20:19:53.712387966Z,CONFIRMED_UP,376,1,125000,7,4/5,903900000,-69,-69,9.5,10049.379212006927
260C96BF,2022-03-15T20:20:03.770390358Z,CONFIRMED_UP,377,1,125000,7,4/5,903900000,-69,-69,9.25,10058.002391994
260C96BF,2022-03-15T20:20:13.836122978Z,CONFIRMED_UP,378,1,125000,7,4/5,903900000,-69,-69,9,10065.73262000084
